A̱o,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab,Periodo
2024,2,78.13,24.57,Abr-Jun 2024
2024,1,78.89,24.79,Ene-Mar 2024
2023,4,78.56,24.66,Oct-Dic 2023
2023,3,77.84,24.41,Jul-Sept 2023
2023,2,77.02,24.14,Abr-Jun 2023
2023,1,77.2,24.17,Ene-Mar 2023
2022,4,77.21,24.15,Oct-Dic 2022
2022,3,76.64,23.95,Jul-Sept 2022
2022,2,75.9654243719137,23.7204423164287,Abr-Jun 2022
2022,1,73.8788028445262,23.0491710386977,Ene-Mar 2022
2021,4,73.1763965281478,22.810702052175,Oct-Dic 2021
2021,3,70.5788534144302,21.9825500827064,Jul-Sept 2021
2021,2,69.2401826919972,21.5479389275921,Abr-Jun 2021
2021,1,67.9458763888521,21.1278318121601,Ene-Mar 2021
2020,4,67.6223386615562,21.0101917482845,Oct-Dic 2020
2020,3,66.31,20.59,Jul-Sept 2020
2020,2,64.2100028766699,19.918402765295,Abr-Jun 2020
2020,1,62.8563611135937,19.4832647686156,Ene-Mar 2020
2019,4,62.9199118209147,19.4879000871297,Oct-Dic 2019
2019,3,65.7879845391111,20.3606607185568,Jul-Sept 2019
2019,2,64.53,19.96,Abr-Jun 2019
2019,1,62.4791661097718,19.3079067412299,Ene-Mar 2019
2018,4,61.4158072343577,18.97,Oct-Dic 2018
2018,3,60.69,18.73,Jul-Sept 2018
2018,2,59.1620687879326,18.24,Abr-Jun 2018
2018,1,58.82,18.12,Ene-Mar 2018
2017,4,57.7823509631833,17.7929770681446,Oct-Dic 2017
2017,3,56.8992214122315,17.5090322340829,Jul-Sept 2017
2017,2,54.9011906598371,16.8829367167329,Abr-Jun 2017
2017,1,54.1621158241475,16.6445653587914,Ene-Mar 2017
2016,4,53.9360186642862,16.5640000309732,Oct-Dic 2016
2016,3,53.7341862288777,16.5046756740027,Jul-Sept 2016
2016,2,53.3422011526116,16.3713514993317,Abr-Jun 2016
2016,1,51.845451696958,15.9018018688339,Ene-Mar 2016
2015,4,52.6308875044894,16.1226969462781,Oct-Dic 2015
2015,3,52.4591062215395,16.0502891476947,Jul-Sept 2015
2015,2,51.7602660815406,15.8172335655737,Abr-Jun 2015
2015,1,51.3645863622347,15.6772340033791,Ene-Mar 2015
2014,4,50.4997884742653,15.3946769684574,Oct-Dic 2014
2014,3,50.6723681347231,15.4287688044283,Jul-Sept 2014
2014,2,49.8614284376576,15.1639080079061,Abr-Jun 2014
2014,1,49.545821345017,15.0501038728932,Ene-Mar 2014
